id_usuario;nome;cpf;email;tipo_conta;agencia;numero_conta;limite_especial;tipo_cartao;final_cartao;limite_cartao
48;João Nascimento;538.951.971-28;joão.nascimento@email.com;Corrente;0002;75524-0;2412.88;Crédito Infinite;7242;41083.42
49;Carlos Oliveira;688.223.548-43;carlos.oliveira@email.com;Poupanca;0009;65571-3;0.0;Crédito Infinite;6024;33223.49
50;Maria Silva;763.311.593-62;maria.silva@email.com;Universitária;0009;44969-0;0.0;Débito;9322;0.0
51;João Ferreira;496.856.645-81;joão.ferreira@email.com;Universitária;0002;18393-7;0.0;Crédito Platinum;8008;35994.7
52;Lucas Costa;753.206.816-52;lucas.costa@email.com;Poupanca;0003;60442-0;0.0;Crédito Platinum;3389;24584.39
53;Lucas Nascimento;194.232.864-79;lucas.nascimento@email.com;Corrente;0005;60195-6;857.0;Crédito Infinite;8845;44905.97
54;Ricardo Souza;881.821.541-82;ricardo.souza@email.com;Poupanca;0009;37755-7;0.0;Crédito Black;6719;15354.59
55;Carlos Silva;670.314.312-43;carlos.silva@email.com;Universitária;0009;80144-4;0.0;Crédito Infinite;5354;41658.1
56;Ricardo Nascimento;652.566.706-48;ricardo.nascimento@email.com;Corrente;0010;34460-8;3706.6;Débito;5168;0.0
57;Juliana Pereira;215.896.377-28;juliana.pereira@email.com;Poupanca;0009;63398-3;0.0;Crédito Black;6176;17914.53
58;João Costa;583.606.244-11;joão.costa@email.com;Poupanca;0009;41638-9;0.0;Crédito Infinite;1181;4914.72
59;Maria Silva;804.939.590-63;maria.silva@email.com;Poupanca;0004;68980-9;0.0;Débito;6624;0.0
60;Patrícia Costa;189.229.964-90;patrícia.costa@email.com;Universitária;0001;78854-0;0.0;Crédito Infinite;1219;33153.24
61;Beatriz Souza;356.586.714-29;beatriz.souza@email.com;Poupanca;0010;63070-0;0.0;Crédito Infinite;4723;16329.83
62;Ana Oliveira;719.189.467-88;ana.oliveira@email.com;Universitária;0007;45184-4;0.0;Crédito Black;4454;39597.48
63;Juliana Santos;510.709.591-75;juliana.santos@email.com;Poupanca;0001;62341-7;0.0;Crédito Infinite;2687;11968.59
64;Maria Silva;183.141.715-49;maria.silva@email.com;Corrente;0001;20200-0;1451.54;Crédito Platinum;3390;3112.61
65;Patrícia Pereira;681.841.641-36;patrícia.pereira@email.com;Universitária;0004;11453-6;0.0;Crédito Black;1516;6562.44
66;Beatriz Almeida;952.850.168-20;beatriz.almeida@email.com;Corrente;0002;33911-3;2095.34;Crédito Infinite;8505;48528.66
67;Carlos Silva;316.472.969-21;carlos.silva@email.com;Poupanca;0005;92074-1;0.0;Crédito Infinite;7239;27910.38
68;Lucas Costa;816.562.137-57;lucas.costa@email.com;Universitária;0009;77629-1;0.0;Débito;3835;0.0
69;Ana Almeida;215.226.536-19;ana.almeida@email.com;Poupanca;0007;32696-4;0.0;Crédito Infinite;2813;27422.67
70;Fernando Costa;591.659.900-11;fernando.costa@email.com;Corrente;0003;55764-7;3014.58;Crédito Black;4076;10041.28
71;Patrícia Oliveira;735.466.345-14;patrícia.oliveira@email.com;Corrente;0009;95662-7;3086.85;Débito;2825;0.0
72;Patrícia Santos;817.433.832-42;patrícia.santos@email.com;Universitária;0010;19142-3;0.0;Débito;7495;0.0
73;Patrícia Nascimento;566.554.950-90;patrícia.nascimento@email.com;Universitária;0001;55963-4;0.0;Crédito Black;9268;44641.86
74;Beatriz Silva;100.722.129-45;beatriz.silva@email.com;Poupanca;0006;36806-3;0.0;Débito;5101;0.0
75;Ana Pereira;927.572.854-63;ana.pereira@email.com;Universitária;0005;13490-0;0.0;Débito;2641;0.0
76;Beatriz Ferreira;688.455.621-63;beatriz.ferreira@email.com;Universitária;0004;73222-7;0.0;Crédito Infinite;6075;31209.11
77;Juliana Silva;616.291.959-10;juliana.silva@email.com;Poupanca;0003;33798-2;0.0;Crédito Black;1140;16889.41
78;Fernando Almeida;866.991.906-90;fernando.almeida@email.com;Universitária;0006;47605-8;0.0;Crédito Black;7694;47571.61
79;Maria Costa;676.469.292-83;maria.costa@email.com;Poupanca;0006;75281-6;0.0;Crédito Platinum;4438;19408.94
80;Beatriz Nascimento;851.257.782-57;beatriz.nascimento@email.com;Poupanca;0010;85026-6;0.0;Débito;8568;0.0
81;Beatriz Costa;408.255.247-48;beatriz.costa@email.com;Corrente;0008;56837-7;2364.04;Crédito Infinite;8041;26787.35
82;Ana Oliveira;978.843.293-99;ana.oliveira@email.com;Corrente;0004;74665-1;2075.32;Crédito Infinite;3957;25520.99
83;Fernando Almeida;216.914.607-78;fernando.almeida@email.com;Corrente;0005;74710-1;755.12;Débito;5398;0.0
84;Maria Pereira;882.790.936-20;maria.pereira@email.com;Poupanca;0010;55099-4;0.0;Crédito Platinum;2476;3556.8
85;Beatriz Almeida;258.947.484-76;beatriz.almeida@email.com;Corrente;0006;12943-1;3150.78;Crédito Black;8096;44875.79
86;Juliana Costa;305.383.145-26;juliana.costa@email.com;Corrente;0005;83197-2;1288.43;Crédito Platinum;5031;47160.7
87;Beatriz Nascimento;134.401.328-57;beatriz.nascimento@email.com;Corrente;0007;55312-0;2366.28;Crédito Infinite;2711;33943.68
88;Beatriz Ferreira;866.410.690-22;beatriz.ferreira@email.com;Universitária;0001;18135-2;0.0;Débito;9526;0.0
89;Ana Costa;121.531.875-60;ana.costa@email.com;Universitária;0005;58318-2;0.0;Crédito Infinite;3874;47587.82
90;Beatriz Almeida;730.642.394-86;beatriz.almeida@email.com;Universitária;0004;94868-9;0.0;Débito;7292;0.0
91;Juliana Oliveira;688.735.739-62;juliana.oliveira@email.com;Poupanca;0009;41402-8;0.0;Crédito Infinite;4433;25098.34
92;Carlos Costa;698.574.992-21;carlos.costa@email.com;Universitária;0001;48149-1;0.0;Crédito Platinum;6230;36574.52
93;Maria Nascimento;105.513.866-94;maria.nascimento@email.com;Poupanca;0005;66317-3;0.0;Crédito Infinite;3161;15025.17
94;João Santos;398.950.960-98;joão.santos@email.com;Corrente;0002;82800-3;4936.48;Débito;5305;0.0
95;Carlos Silva;745.576.761-74;carlos.silva@email.com;Corrente;0009;22426-5;3081.64;Crédito Infinite;4093;30078.48
96;Lucas Almeida;405.448.735-42;lucas.almeida@email.com;Corrente;0002;29361-9;2920.83;Débito;1084;0.0
97;João Oliveira;525.109.752-82;joão.oliveira@email.com;Universitária;0006;49356-0;0.0;Crédito Black;3865;32591.8
98;João Souza;469.667.732-63;joão.souza@email.com;Corrente;0006;54567-6;2285.25;Crédito Black;6899;34783.58
99;João Nascimento;761.748.837-53;joão.nascimento@email.com;Corrente;0003;66149-0;3254.54;Crédito Infinite;1989;44447.74
100;Carlos Souza;881.734.571-33;carlos.souza@email.com;Universitária;0010;98867-5;0.0;Crédito Platinum;2293;17174.03
101;Carlos Pereira;169.635.329-53;carlos.pereira@email.com;Poupanca;0010;50870-9;0.0;Crédito Infinite;4337;43321.69
102;Fernando Nascimento;792.452.590-94;fernando.nascimento@email.com;Poupanca;0006;49870-7;0.0;Crédito Infinite;8795;30258.59
103;Patrícia Ferreira;735.302.990-52;patrícia.ferreira@email.com;Universitária;0006;25122-0;0.0;Crédito Infinite;1779;43703.04
104;Maria Ferreira;848.862.418-53;maria.ferreira@email.com;Poupanca;0008;55209-8;0.0;Crédito Platinum;5871;47871.42
105;João Almeida;323.696.218-90;joão.almeida@email.com;Universitária;0002;82963-9;0.0;Débito;9264;0.0
106;João Santos;282.828.126-16;joão.santos@email.com;Corrente;0009;39850-0;3909.42;Crédito Platinum;8233;46730.56
107;Juliana Santos;495.105.933-35;juliana.santos@email.com;Poupanca;0006;17164-0;0.0;Crédito Black;1570;39902.34
108;João Costa;467.370.492-39;joão.costa@email.com;Corrente;0008;39983-3;1398.56;Débito;6181;0.0
109;Fernando Pereira;610.848.719-18;fernando.pereira@email.com;Poupanca;0009;56324-1;0.0;Crédito Infinite;8583;9901.73
110;Juliana Souza;576.814.853-62;juliana.souza@email.com;Corrente;0008;46307-7;1024.45;Crédito Platinum;4626;22176.79
111;Lucas Nascimento;402.812.178-54;lucas.nascimento@email.com;Poupanca;0008;18749-7;0.0;Crédito Infinite;4945;45089.0
112;Fernando Almeida;848.378.402-41;fernando.almeida@email.com;Universitária;0003;87418-8;0.0;Crédito Platinum;1483;24874.81
113;Ana Souza;536.619.424-70;ana.souza@email.com;Universitária;0003;25352-0;0.0;Crédito Infinite;2344;7590.59
114;Maria Ferreira;865.297.102-85;maria.ferreira@email.com;Universitária;0007;88780-6;0.0;Crédito Infinite;6879;8343.3
115;Patrícia Santos;273.603.632-85;patrícia.santos@email.com;Universitária;0008;37503-2;0.0;Crédito Black;4277;5727.53
116;Ricardo Souza;275.174.729-67;ricardo.souza@email.com;Corrente;0003;52246-1;195.85;Crédito Infinite;8915;19334.9
117;Ricardo Silva;590.104.456-17;ricardo.silva@email.com;Poupanca;0006;71203-3;0.0;Débito;9663;0.0
118;Fernando Silva;323.644.833-10;fernando.silva@email.com;Corrente;0003;71420-4;2453.39;Crédito Black;8340;34790.02
119;Ricardo Souza;862.786.332-62;ricardo.souza@email.com;Poupanca;0009;22493-3;0.0;Crédito Black;1540;1423.14
120;Juliana Nascimento;290.965.677-56;juliana.nascimento@email.com;Corrente;0003;61982-7;2195.61;Débito;4047;0.0
121;Carlos Pereira;178.135.642-58;carlos.pereira@email.com;Poupanca;0002;84146-3;0.0;Crédito Infinite;1323;31065.2
122;Juliana Pereira;137.753.780-48;juliana.pereira@email.com;Universitária;0001;22322-3;0.0;Débito;6722;0.0
123;Lucas Silva;722.459.608-45;lucas.silva@email.com;Universitária;0005;79337-6;0.0;Débito;8073;0.0
124;João Ferreira;420.112.406-87;joão.ferreira@email.com;Universitária;0009;71724-3;0.0;Crédito Black;8722;21198.81
125;Juliana Oliveira;901.372.804-31;juliana.oliveira@email.com;Universitária;0005;64973-5;0.0;Débito;2140;0.0
126;Lucas Pereira;746.671.904-22;lucas.pereira@email.com;Poupanca;0009;90276-2;0.0;Crédito Infinite;3765;21899.19
127;Ana Pereira;993.365.486-57;ana.pereira@email.com;Corrente;0009;28475-4;503.27;Crédito Platinum;9669;48411.34
128;Patrícia Pereira;937.196.554-17;patrícia.pereira@email.com;Corrente;0009;10778-5;1543.46;Crédito Platinum;3914;49935.52
129;Beatriz Santos;346.427.495-25;beatriz.santos@email.com;Corrente;0005;25995-3;1479.42;Crédito Black;4541;42927.97
130;Carlos Santos;527.497.503-44;carlos.santos@email.com;Poupanca;0004;70275-2;0.0;Crédito Infinite;8481;30994.61
131;João Costa;211.678.216-91;joão.costa@email.com;Universitária;0005;64314-1;0.0;Crédito Platinum;2099;7882.53
132;Lucas Costa;114.595.228-16;lucas.costa@email.com;Universitária;0005;83894-9;0.0;Crédito Platinum;1436;13709.42
133;Maria Ferreira;823.583.892-96;maria.ferreira@email.com;Poupanca;0007;10581-3;0.0;Crédito Infinite;7276;39967.03
134;Beatriz Oliveira;446.952.282-75;beatriz.oliveira@email.com;Poupanca;0001;50845-9;0.0;Crédito Platinum;5934;40538.69
135;Ana Santos;355.858.362-65;ana.santos@email.com;Universitária;0007;22244-5;0.0;Crédito Black;8112;13650.62
136;Lucas Souza;143.528.949-81;lucas.souza@email.com;Poupanca;0003;43108-8;0.0;Crédito Black;7895;22817.71
137;Lucas Costa;238.430.864-12;lucas.costa@email.com;Universitária;0009;60058-3;0.0;Débito;7731;0.0
138;Ana Pereira;921.418.270-75;ana.pereira@email.com;Corrente;0003;81448-0;590.12;Crédito Infinite;8160;1668.01
139;Fernando Almeida;979.812.272-96;fernando.almeida@email.com;Poupanca;0004;73446-6;0.0;Débito;8149;0.0
140;Juliana Ferreira;599.926.934-88;juliana.ferreira@email.com;Corrente;0002;36170-7;482.48;Débito;8513;0.0
141;Lucas Pereira;572.845.309-63;lucas.pereira@email.com;Universitária;0008;37617-2;0.0;Crédito Infinite;6306;15123.46
142;João Souza;182.316.336-84;joão.souza@email.com;Poupanca;0006;21780-4;0.0;Crédito Platinum;9678;1832.17
143;Ricardo Souza;468.165.847-54;ricardo.souza@email.com;Universitária;0004;72818-3;0.0;Crédito Platinum;7912;44401.12
144;Ana Costa;297.538.242-35;ana.costa@email.com;Corrente;0002;43971-5;3277.47;Crédito Black;9162;12838.4
145;Ana Costa;704.113.340-35;ana.costa@email.com;Universitária;0007;90436-4;0.0;Débito;1019;0.0
146;João Almeida;176.756.504-11;joão.almeida@email.com;Universitária;0002;90736-5;0.0;Crédito Black;3596;25356.69
147;Ricardo Santos;652.766.735-77;ricardo.santos@email.com;Corrente;0007;19706-0;1491.95;Débito;5653;0.0
148;João Pereira;163.963.674-78;joão.pereira@email.com;Universitária;0010;40571-9;0.0;Crédito Infinite;3677;46943.01
149;Maria Oliveira;604.969.790-54;maria.oliveira@email.com;Corrente;0008;64979-5;4598.18;Crédito Platinum;6221;48126.4
150;Patrícia Souza;205.765.493-11;patrícia.souza@email.com;Corrente;0007;81398-6;2736.3;Crédito Infinite;4340;24475.6
151;Carlos Costa;816.875.509-91;carlos.costa@email.com;Universitária;0006;66749-7;0.0;Crédito Black;4121;32345.56
152;Ana Ferreira;151.916.744-24;ana.ferreira@email.com;Corrente;0007;33297-7;31.18;Crédito Platinum;8215;19444.25
153;Patrícia Santos;413.340.967-60;patrícia.santos@email.com;Universitária;0010;94657-4;0.0;Crédito Infinite;5335;4786.09
154;Lucas Almeida;158.152.839-49;lucas.almeida@email.com;Poupanca;0008;85564-8;0.0;Crédito Black;9735;37281.41
155;Lucas Ferreira;551.785.727-53;lucas.ferreira@email.com;Corrente;0010;85461-4;3819.77;Crédito Platinum;7997;49952.54
156;Juliana Santos;936.213.378-44;juliana.santos@email.com;Poupanca;0009;53972-1;0.0;Crédito Black;8256;25415.91
157;Juliana Silva;376.276.569-66;juliana.silva@email.com;Poupanca;0001;72948-3;0.0;Crédito Platinum;8213;39496.27
158;Beatriz Silva;292.654.425-16;beatriz.silva@email.com;Corrente;0006;63602-3;1154.63;Crédito Platinum;2252;18095.02
159;Patrícia Nascimento;734.137.552-32;patrícia.nascimento@email.com;Universitária;0002;97681-7;0.0;Débito;1489;0.0
160;Lucas Souza;605.420.783-71;lucas.souza@email.com;Corrente;0004;17535-7;3319.0;Crédito Platinum;9769;44472.24
161;Beatriz Nascimento;983.961.238-16;beatriz.nascimento@email.com;Poupanca;0007;63811-1;0.0;Débito;5593;0.0
162;Juliana Santos;226.987.363-78;juliana.santos@email.com;Universitária;0006;71331-3;0.0;Crédito Black;5313;37044.45
163;Patrícia Souza;982.224.342-42;patrícia.souza@email.com;Universitária;0003;39780-1;0.0;Crédito Black;1063;48316.64
164;João Almeida;840.474.730-60;joão.almeida@email.com;Universitária;0008;65892-3;0.0;Débito;5992;0.0
165;Juliana Oliveira;864.164.999-50;juliana.oliveira@email.com;Universitária;0004;25169-1;0.0;Crédito Black;2485;30867.26
166;Maria Costa;694.926.382-77;maria.costa@email.com;Corrente;0002;39836-1;1361.07;Débito;5759;0.0
167;Beatriz Santos;529.177.164-48;beatriz.santos@email.com;Corrente;0008;85631-7;2898.25;Crédito Platinum;5817;23827.12
168;Lucas Almeida;948.231.636-32;lucas.almeida@email.com;Universitária;0010;45471-8;0.0;Crédito Black;8540;38738.56
169;Maria Ferreira;342.347.883-63;maria.ferreira@email.com;Poupanca;0006;76733-2;0.0;Crédito Platinum;1510;2886.31
170;Fernando Oliveira;839.194.918-88;fernando.oliveira@email.com;Corrente;0008;62078-1;2472.94;Débito;3817;0.0
171;Juliana Ferreira;683.461.820-16;juliana.ferreira@email.com;Poupanca;0006;76933-0;0.0;Crédito Infinite;9858;1607.77
172;Ana Souza;295.591.954-18;ana.souza@email.com;Corrente;0005;88902-3;4780.83;Débito;9745;0.0
173;Ricardo Nascimento;637.685.136-74;ricardo.nascimento@email.com;Corrente;0009;58848-6;891.2;Débito;8214;0.0
174;Ricardo Souza;848.116.670-40;ricardo.souza@email.com;Poupanca;0006;64872-5;0.0;Crédito Black;2039;47569.84
175;Juliana Ferreira;596.988.351-97;juliana.ferreira@email.com;Corrente;0006;67285-4;1570.02;Débito;4121;0.0
176;João Nascimento;909.846.798-81;joão.nascimento@email.com;Universitária;0009;18841-7;0.0;Crédito Platinum;8205;41294.8
177;Ana Pereira;614.589.315-84;ana.pereira@email.com;Poupanca;0007;41074-1;0.0;Crédito Platinum;3255;12078.64
178;Carlos Oliveira;974.639.500-16;carlos.oliveira@email.com;Poupanca;0002;59553-5;0.0;Débito;1279;0.0
179;Juliana Almeida;228.468.549-97;juliana.almeida@email.com;Poupanca;0008;85511-5;0.0;Crédito Platinum;7403;45739.48
180;Maria Costa;694.823.933-99;maria.costa@email.com;Universitária;0004;46384-9;0.0;Crédito Infinite;7455;28800.78
181;Beatriz Ferreira;542.751.158-43;beatriz.ferreira@email.com;Corrente;0008;59081-0;3625.92;Crédito Platinum;1673;2288.29
182;João Almeida;122.946.651-68;joão.almeida@email.com;Universitária;0009;89708-2;0.0;Crédito Platinum;7464;49828.64
183;João Ferreira;684.437.247-93;joão.ferreira@email.com;Corrente;0009;61802-9;1027.97;Crédito Black;8466;18542.17
184;João Pereira;372.355.129-50;joão.pereira@email.com;Poupanca;0006;44208-0;0.0;Débito;4341;0.0
185;Beatriz Ferreira;738.280.326-52;beatriz.ferreira@email.com;Poupanca;0001;15375-2;0.0;Crédito Infinite;3386;6998.43
186;Lucas Ferreira;135.258.462-26;lucas.ferreira@email.com;Poupanca;0007;53975-5;0.0;Débito;9227;0.0
187;Fernando Souza;308.715.631-37;fernando.souza@email.com;Poupanca;0005;23835-8;0.0;Débito;4108;0.0
188;Patrícia Souza;281.757.572-41;patrícia.souza@email.com;Poupanca;0004;64921-6;0.0;Crédito Black;8979;30577.23
189;João Nascimento;638.701.262-56;joão.nascimento@email.com;Corrente;0003;87276-3;1329.45;Crédito Platinum;4714;22736.49
190;Ana Nascimento;715.484.563-28;ana.nascimento@email.com;Universitária;0010;81007-2;0.0;Crédito Black;4500;15538.33
191;Patrícia Santos;569.831.248-85;patrícia.santos@email.com;Poupanca;0004;99939-0;0.0;Débito;2034;0.0
192;Ricardo Pereira;724.316.200-21;ricardo.pereira@email.com;Corrente;0008;68098-0;3568.52;Crédito Infinite;4221;37854.32
193;Patrícia Pereira;221.877.953-12;patrícia.pereira@email.com;Universitária;0002;53063-6;0.0;Crédito Black;2800;4267.34
194;Fernando Costa;482.729.328-29;fernando.costa@email.com;Poupanca;0003;63857-4;0.0;Crédito Black;5543;7146.91
195;Ana Costa;776.500.464-78;ana.costa@email.com;Universitária;0003;93033-8;0.0;Débito;6941;0.0
196;Ricardo Silva;145.399.934-57;ricardo.silva@email.com;Universitária;0006;32917-1;0.0;Débito;4009;0.0
197;Ana Santos;405.212.501-44;ana.santos@email.com;Universitária;0008;23027-0;0.0;Débito;9961;0.0
198;Ricardo Oliveira;974.473.721-90;ricardo.oliveira@email.com;Universitária;0001;46172-4;0.0;Crédito Black;4741;1344.44
199;Ana Costa;633.635.426-48;ana.costa@email.com;Corrente;0004;22167-7;2232.1;Débito;1229;0.0
200;Fernando Almeida;804.328.160-12;fernando.almeida@email.com;Corrente;0009;89108-3;1980.22;Crédito Platinum;7849;6157.82
201;Beatriz Almeida;612.492.246-50;beatriz.almeida@email.com;Universitária;0009;38888-8;0.0;Crédito Infinite;5351;2009.55
202;Patrícia Silva;430.508.225-69;patrícia.silva@email.com;Poupanca;0004;65210-3;0.0;Crédito Infinite;3341;40497.26
203;Ana Almeida;840.812.326-29;ana.almeida@email.com;Universitária;0003;86086-4;0.0;Crédito Infinite;6507;11765.86
204;Ricardo Almeida;192.400.305-30;ricardo.almeida@email.com;Poupanca;0007;68282-8;0.0;Crédito Infinite;2913;11158.17
205;João Ferreira;716.932.232-24;joão.ferreira@email.com;Universitária;0009;83607-3;0.0;Crédito Black;5562;17329.36
206;Ana Nascimento;319.858.206-15;ana.nascimento@email.com;Corrente;0006;40767-7;3347.65;Crédito Platinum;5954;25113.19
207;Juliana Nascimento;539.402.980-42;juliana.nascimento@email.com;Universitária;0002;30693-8;0.0;Crédito Black;8882;24158.16
208;Juliana Oliveira;902.259.859-73;juliana.oliveira@email.com;Corrente;0003;26367-9;4325.03;Crédito Platinum;3223;47917.76
209;Fernando Souza;748.142.688-52;fernando.souza@email.com;Poupanca;0009;94097-7;0.0;Débito;5917;0.0
210;João Santos;848.502.916-16;joão.santos@email.com;Universitária;0010;56714-0;0.0;Crédito Infinite;8891;45132.66
211;Beatriz Silva;491.446.888-11;beatriz.silva@email.com;Universitária;0005;87259-6;0.0;Crédito Infinite;6347;32981.35
212;Patrícia Pereira;761.376.882-68;patrícia.pereira@email.com;Corrente;0002;80608-8;3298.95;Crédito Infinite;5306;31456.51
213;Juliana Ferreira;982.860.617-31;juliana.ferreira@email.com;Corrente;0010;66451-1;1448.14;Débito;5800;0.0
214;Juliana Costa;581.449.400-92;juliana.costa@email.com;Poupanca;0005;97479-6;0.0;Crédito Platinum;9211;43583.92
215;Ana Costa;392.728.448-96;ana.costa@email.com;Poupanca;0008;59702-8;0.0;Crédito Infinite;7278;29304.9
216;João Ferreira;152.948.168-75;joão.ferreira@email.com;Corrente;0005;13107-7;4771.67;Débito;2940;0.0
217;Carlos Santos;431.961.381-57;carlos.santos@email.com;Corrente;0007;79391-6;1253.08;Crédito Black;8739;45744.53
218;Ricardo Nascimento;119.491.244-71;ricardo.nascimento@email.com;Universitária;0005;81430-4;0.0;Crédito Black;7454;30819.96
219;Maria Oliveira;210.612.439-12;maria.oliveira@email.com;Poupanca;0008;72097-0;0.0;Crédito Infinite;1462;43119.26
220;Juliana Nascimento;396.805.289-87;juliana.nascimento@email.com;Universitária;0009;39503-3;0.0;Débito;1126;0.0
